snapshot_date,policy_start_year,business_type_category,chengdu_branch,second_level_organization,third_level_organization,customer_category_3,insurance_type,is_new_energy_vehicle,coverage_type,is_transferred_vehicle,renewal_status,vehicle_insurance_grade,highway_risk_grade,large_truck_score,small_truck_score,terminal_source,signed_premium_yuan,matured_premium_yuan,policy_count,claim_case_count,reported_claim_payment_yuan,expense_amount_yuan,commercial_premium_before_discount_yuan,premium_plan_yuan,marginal_contribution_amount_yuan,week_number
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,主全,False,续保,,,B,,0106移动展业(App),6762.26,4821.7287804283,1,0,0.0,67.61999999999998,4821.7287804283,4821.7287804283,4773.513346515294,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,主全,False,续保,,,C,,0106移动展业(App),4226.42,57.9,0,0,0.0,42.26000000000001,57.9,57.9,57.32105753805821,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,主全,False,转保,,,D,,0106移动展业(App),2958.49,218.847205479452,0,0,0.0,147.91999999999993,218.847205479452,218.847205479452,207.90517808219172,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,A,,0106移动展业(App),5916.98,1977.73030136986,1,1,2330.19,295.83999999999986,1977.73030136986,1977.73030136986,-451.3432054794513,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,C,,0106移动展业(App),6339.62,1632.0905938448,1,0,0.0,181.7299999999997,1632.0905938448,1632.0905938448,1585.3054831253223,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,D,,0106移动展业(App),9215.89,3420.4917808219197,1,0,0.0,279.8500000000002,3420.4917808219197,3420.4917808219197,3316.625021901944,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,E,,0106移动展业(App),3381.13,2121.31169863014,1,0,0.0,0.0,2121.31169863014,2121.31169863014,2121.31169863014,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,转保,,,B,,0106移动展业(App),2958.49,1920.9921369863,1,0,0.0,887.5400000000008,1920.9921369863,1920.9921369863,1344.699041095889,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,转保,,,C,,0106移动展业(App),3381.13,2084.2582191780803,1,0,0.0,169.05999999999995,2084.2582191780803,2084.2582191780803,1980.0431506849297,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,True,转保,,,,,0106移动展业(App),4226.42,69.5,0,0,0.0,42.26000000000001,69.5,69.5,68.80506906554483,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,A,,0106移动展业(App),616.02,616.02,1,0,0.0,0.0,616.02,616.02,616.02,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,B,,0106移动展业(App),745.6999999999999,745.6999999999999,1,0,0.0,37.29000000000001,745.6999999999999,745.6999999999999,708.41,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,E,,0106移动展业(App),4226.42,2894.80821917808,1,0,0.0,211.3200000000001,2894.80821917808,2894.80821917808,2750.0684931506826,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,转保,,,A,,0106移动展业(App),10143.4,4056.5799841047,1,0,0.0,887.5400000000005,4056.5799841047,4056.5799841047,3701.632234918797,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,转保,,,C,,0106移动展业(App),2958.49,24.299999999999997,0,0,0.0,0.0,24.299999999999997,24.299999999999997,24.299999999999997,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,主全,False,续保,,,B,,0106移动展业(App),20795.76,14826.4350684932,1,0,0.0,4367.109999999997,10982.537819015808,14826.4350684932,11712.883418927746,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,主全,False,续保,,,C,,0106移动展业(App),8954.02,49.1,0,0,0.0,3312.9899999999993,36.37035504242854,49.1,30.93298574271669,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,主全,False,转保,,,D,,0106移动展业(App),10269.539999999999,731.5288767123291,0,0,0.0,3388.9500000000003,541.8728188931085,731.5288767123291,490.12421917808234,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,A,,0106移动展业(App),6001.14,2943.02482191781,0,1,3117.31,2160.4100000000026,2180.018386605785,2943.02482191781,-1233.7739178082106,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,B,,0106移动展业(App),8401.58,4948.87589041096,1,0,0.0,3360.6299999999997,3665.833992897007,4948.87589041096,2969.326712328768,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,C,,0106移动展业(App),14548.58,3336.2266849315097,0,0,0.0,1290.8699999999994,2471.2793864353125,3336.2266849315097,3040.2091395231237,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,D,,0106移动展业(App),19748.48,7015.42402739726,1,0,0.0,6798.850000000009,5196.610390664637,7015.42402739726,4600.209507157226,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,E,,0106移动展业(App),9287.4,5725.1095890411,1,0,0.0,3343.4599999999978,4240.818471610567,5725.1095890411,3664.07260273973,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,转保,,,A,,0106移动展业(App),4829.08,1627.33380821918,0,0,0.0,1497.0100000000002,1972.5219168646813,1627.33380821918,1122.8619452054807,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,转保,,,B,,0106移动展业(App),6633.85,4289.28383561644,1,0,0.0,2653.5400000000004,3177.2472856418076,4289.28383561644,2573.570301369864,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,转保,,,C,,0106移动展业(App),2025.6,2025.6,1,0,0.0,729.2199999999985,1500.4444444444443,2025.6,1296.3800000000012,45
2025-11-09,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,True,转保,,,,,0106移动展业(App),12294.0,168.41095890410998,0,0,0.0,0.0,124.74890152494234,168.41095890410998,168.41095890410998,45
2025-11-09,2025,10吨以上-普货,中支,四川,德阳,营业货车,交强险,False,主全,False,转保,,,B,,0106移动展业(App),2958.49,2354.63374725286,1,0,0.0,144.9699999999999,2354.63374725286,2354.63374725286,2239.253518034831,45
2025-11-09,2025,10吨以上-普货,中支,四川,德阳,营业货车,交强险,False,交三,False,续保,,,B,,0106移动展业(App),2958.49,1839.93761643836,1,0,0.0,147.91999999999993,1839.93761643836,1839.93761643836,1747.943534246579,45
2025-11-09,2025,10吨以上-普货,中支,四川,德阳,营业货车,交强险,False,交三,False,续保,,,C,,0106移动展业(App),4226.42,1982.94356725826,0,0,0.0,211.3200000000001,1982.94356725826,1982.94356725826,1883.7968580734141,45
2025-11-09,2025,10吨以上-普货,中支,四川,德阳,营业货车,交强险,False,单交,False,新保,,,,,0106移动展业(App),4226.42,524.442739077792,0,0,0.0,0.0,524.442739077792,524.442739077792,524.442739077792,45
